tipo,ubicacion,timestamp,comuna
Policía,Calle falsa #1741,2025-06-02T08:41:01.189421,Maipú
Atasco,Calle falsa #688,2025-05-30T23:22:30.189421,Maipú
Detención,Calle falsa #1761,2025-06-02T21:16:12.189421,Puente Alto
Atasco,Calle falsa #1775,2025-05-31T11:28:02.189421,Maipú
Bache,Calle falsa #581,2025-05-30T15:04:45.189421,Ñuñoa
Corte,Calle falsa #2778,2025-05-30T10:41:58.189421,Santiago
Policía,Calle falsa #791,2025-05-30T21:57:29.189421,Puente Alto
Bache,Calle falsa #241,2025-06-01T06:59:07.189421,La Florida
Accidente,Calle falsa #2333,2025-06-02T09:25:57.189421,Macul
Policía,Calle falsa #2539,2025-05-30T17:25:11.189421,Providencia
Policía,Calle falsa #1597,2025-06-02T03:19:58.189421,Santiago
Policía,Calle falsa #1597,2025-06-02T21:45:02.189421,Maipú
Atasco,Calle falsa #2226,2025-05-31T18:16:24.189421,Providencia
Corte,Calle falsa #2993,2025-05-30T04:45:13.189421,La Florida
Corte,Calle falsa #1610,2025-05-29T18:14:43.189421,La Florida
Corte,Calle falsa #2236,2025-06-03T11:54:51.189421,Maipú
Policía,Calle falsa #149,2025-05-30T05:02:18.189421,Puente Alto
Atasco,Calle falsa #1155,2025-05-30T12:52:43.189421,Providencia
Policía,Calle falsa #2652,2025-06-01T16:20:21.189421,Macul
Detención,Calle falsa #603,2025-06-01T22:32:43.189421,Macul
Policía,Calle falsa #453,2025-06-02T03:14:21.189421,Santiago
Corte,Calle falsa #640,2025-05-30T01:39:47.189421,Maipú
Accidente,Calle falsa #11,2025-06-03T00:32:32.189421,Maipú
Accidente,Calle falsa #1335,2025-05-31T17:03:14.189421,Ñuñoa
Policía,Calle falsa #1150,2025-06-01T20:41:06.189421,Santiago
Atasco,Calle falsa #2382,2025-06-02T14:21:34.189421,Puente Alto
Accidente,Calle falsa #686,2025-06-02T20:08:18.189421,Puente Alto
Policía,Calle falsa #2043,2025-06-01T06:53:25.189421,Ñuñoa
Corte,Calle falsa #620,2025-05-31T17:30:28.189421,Santiago
Accidente,Calle falsa #1240,2025-06-02T06:05:23.189421,Providencia
Accidente,Calle falsa #939,2025-05-31T04:09:50.189421,Santiago
Policía,Calle falsa #524,2025-06-03T17:05:15.189421,Ñuñoa
Policía,Calle falsa #2700,2025-05-31T10:51:50.189421,La Florida
Atasco,Calle falsa #1580,2025-05-31T15:04:47.189421,Las Condes
Atasco,Calle falsa #1983,2025-06-03T16:06:47.189421,Providencia
Atasco,Calle falsa #2837,2025-05-30T22:41:09.189421,La Florida
Policía,Calle falsa #1553,2025-05-29T22:53:01.189421,Maipú
Accidente,Calle falsa #1051,2025-06-01T18:59:16.189421,Maipú
Atasco,Calle falsa #664,2025-05-30T04:45:45.189421,Maipú
Corte,Calle falsa #63,2025-06-02T15:03:00.189421,Providencia
Atasco,Calle falsa #621,2025-05-30T16:52:33.189421,Ñuñoa
Accidente,Calle falsa #2102,2025-06-02T03:14:59.189421,Maipú
Atasco,Calle falsa #1678,2025-05-30T00:11:36.189421,Ñuñoa
Detención,Calle falsa #2107,2025-06-01T20:15:30.189421,Macul
Policía,Calle falsa #306,2025-06-02T00:43:57.189421,Macul
Corte,Calle falsa #504,2025-05-31T03:02:38.189421,Providencia
Policía,Calle falsa #1090,2025-06-02T07:36:10.189421,Maipú
Atasco,Calle falsa #2170,2025-06-01T18:02:07.189421,Maipú
Atasco,Calle falsa #1824,2025-05-30T05:31:36.189421,Macul
Accidente,Calle falsa #576,2025-06-01T01:27:21.189421,Las Condes
Bache,Calle falsa #2285,2025-06-01T00:23:09.189421,La Florida
Accidente,Calle falsa #972,2025-06-01T21:35:30.189421,La Florida
Detención,Calle falsa #576,2025-06-01T04:12:02.189421,Maipú
Accidente,Calle falsa #888,2025-05-30T01:48:12.189421,Macul
Atasco,Calle falsa #1745,2025-06-01T04:26:24.189421,Ñuñoa
Policía,Calle falsa #1744,2025-06-01T02:59:11.189421,Ñuñoa
Policía,Calle falsa #1876,2025-06-01T00:30:48.189421,Ñuñoa
Policía,Calle falsa #525,2025-05-31T12:57:40.189421,Ñuñoa
Atasco,Calle falsa #1142,2025-06-03T16:30:13.189421,Santiago
Accidente,Calle falsa #1624,2025-05-29T23:34:21.189421,Maipú
Atasco,Calle falsa #2203,2025-06-03T13:35:56.189421,Santiago
Detención,Calle falsa #1976,2025-06-02T01:22:49.189421,La Florida
Accidente,Calle falsa #243,2025-06-03T06:39:06.189421,Puente Alto
Policía,Calle falsa #463,2025-06-01T02:48:40.189421,Macul
Atasco,Calle falsa #1473,2025-06-02T00:59:09.189421,Ñuñoa
Atasco,Calle falsa #623,2025-05-31T03:07:50.189421,Puente Alto
Corte,Calle falsa #2216,2025-06-01T23:20:49.189421,La Florida
Atasco,Calle falsa #1968,2025-06-03T08:04:24.189421,Providencia
Policía,Calle falsa #1641,2025-05-30T02:19:21.189421,Santiago
Bache,Calle falsa #2809,2025-05-31T09:16:47.189421,Maipú
Corte,Calle falsa #1896,2025-06-01T04:33:12.189421,Providencia
Corte,Calle falsa #1811,2025-06-01T23:36:54.189421,Providencia
Accidente,Calle falsa #1925,2025-05-31T05:43:43.189421,La Florida
Policía,Calle falsa #1118,2025-05-30T00:59:07.189421,Macul
Accidente,Calle falsa #2826,2025-06-02T19:22:55.189421,Puente Alto
Policía,Calle falsa #965,2025-06-03T10:16:03.189421,Las Condes
Accidente,Calle falsa #2939,2025-06-01T18:26:37.189421,Santiago
Policía,Calle falsa #1007,2025-06-03T11:59:11.189421,Las Condes
Accidente,Calle falsa #2132,2025-06-01T11:59:47.189421,Macul
Policía,Calle falsa #2943,2025-06-02T03:10:02.189421,Macul
Accidente,Calle falsa #2707,2025-05-31T15:40:07.189421,Maipú
Atasco,Calle falsa #287,2025-05-31T11:20:14.189421,La Florida
Policía,Calle falsa #1932,2025-05-31T14:50:34.189421,Las Condes
Policía,Calle falsa #1721,2025-05-30T00:12:02.189421,La Florida
Bache,Calle falsa #1349,2025-06-02T16:19:33.189421,Macul
Corte,Calle falsa #1372,2025-06-01T22:28:43.189421,Puente Alto
Corte,Calle falsa #1928,2025-06-03T17:08:58.189421,Santiago
Policía,Calle falsa #205,2025-05-31T09:35:42.189421,Las Condes
Bache,Calle falsa #2521,2025-05-31T03:38:32.189421,Las Condes
Policía,Calle falsa #2679,2025-05-31T14:42:00.189421,Ñuñoa
Policía,Calle falsa #764,2025-05-30T07:59:06.189421,Puente Alto
Bache,Calle falsa #1168,2025-05-30T10:25:26.189421,La Florida
Policía,Calle falsa #2853,2025-06-02T04:10:42.189421,Puente Alto
Detención,Calle falsa #196,2025-06-01T05:02:44.189421,Puente Alto
Policía,Calle falsa #2723,2025-06-02T06:07:46.189421,Santiago
Detención,Calle falsa #1009,2025-05-29T21:15:36.189421,Las Condes
Detención,Calle falsa #2063,2025-06-01T20:59:21.189421,Santiago
Policía,Calle falsa #567,2025-06-01T02:36:46.189421,Providencia
Corte,Calle falsa #2571,2025-05-31T02:09:51.189421,Santiago
Bache,Calle falsa #504,2025-05-31T17:48:49.189421,Macul
Atasco,Calle falsa #2400,2025-06-02T11:04:18.189421,Puente Alto
Policía,Calle falsa #2267,2025-06-03T12:39:02.189421,Providencia
Atasco,Calle falsa #1547,2025-05-30T21:19:46.189421,Puente Alto
Policía,Calle falsa #1528,2025-05-30T01:08:59.189421,Las Condes
Corte,Calle falsa #810,2025-06-01T21:33:37.189421,Maipú
Accidente,Calle falsa #599,2025-06-03T16:30:26.189421,Ñuñoa
Policía,Calle falsa #2183,2025-06-02T19:12:51.189421,Macul
Accidente,Calle falsa #863,2025-05-30T13:30:26.189421,Puente Alto
Corte,Calle falsa #1707,2025-05-31T06:36:36.189421,Santiago
Policía,Calle falsa #800,2025-05-30T01:37:38.189421,Maipú
Policía,Calle falsa #428,2025-06-01T18:47:14.189421,Maipú
Policía,Calle falsa #523,2025-05-30T13:26:24.189421,Maipú
Atasco,Calle falsa #2387,2025-06-01T02:29:00.189421,Las Condes
Accidente,Calle falsa #1284,2025-05-30T20:43:45.189421,Las Condes
Atasco,Calle falsa #1651,2025-05-31T19:19:40.189421,Puente Alto
Bache,Calle falsa #1218,2025-06-03T16:38:26.189421,Puente Alto
Policía,Calle falsa #175,2025-05-29T23:04:53.189421,Providencia
Policía,Calle falsa #99,2025-06-03T06:52:50.189421,Las Condes
Policía,Calle falsa #77,2025-05-30T18:48:04.189421,Santiago
Policía,Calle falsa #1362,2025-06-03T11:06:09.189421,Las Condes
Policía,Calle falsa #1612,2025-06-02T15:54:33.189421,Santiago
Policía,Calle falsa #1912,2025-05-30T15:32:54.189421,Puente Alto
Policía,Calle falsa #1087,2025-06-01T18:35:35.189421,Ñuñoa
Corte,Calle falsa #2807,2025-06-01T23:38:26.189421,Puente Alto
Policía,Calle falsa #1247,2025-06-01T10:24:06.189421,Ñuñoa
Policía,Calle falsa #602,2025-06-02T23:51:24.189421,Providencia
Policía,Calle falsa #97,2025-05-30T22:31:25.189421,Ñuñoa
Bache,Calle falsa #1914,2025-06-01T20:25:08.189421,Maipú
Corte,Calle falsa #389,2025-06-02T14:17:56.189421,Providencia
Policía,Calle falsa #732,2025-06-01T16:53:35.189421,Maipú
Policía,Calle falsa #2923,2025-05-30T17:31:36.189421,Ñuñoa
Accidente,Calle falsa #2810,2025-06-01T12:44:15.189421,Maipú
Atasco,Calle falsa #1883,2025-05-31T01:34:09.189421,Puente Alto
Corte,Calle falsa #1546,2025-05-31T01:33:41.189421,La Florida
Policía,Calle falsa #1713,2025-05-31T02:38:34.189421,Maipú
Atasco,Calle falsa #1109,2025-06-03T11:40:32.189421,Maipú
Accidente,Calle falsa #1929,2025-06-01T04:25:51.189421,Ñuñoa
Corte,Calle falsa #1890,2025-06-03T07:43:25.189421,Macul
Atasco,Calle falsa #125,2025-06-03T07:05:33.189421,Puente Alto
Accidente,Calle falsa #734,2025-06-01T07:55:22.189421,Macul
Atasco,Calle falsa #425,2025-06-01T03:24:58.189421,Macul
Policía,Calle falsa #1751,2025-05-31T11:25:31.189421,Maipú
Accidente,Calle falsa #2405,2025-05-30T19:24:23.189421,Providencia
Accidente,Calle falsa #2294,2025-05-30T04:56:18.189421,La Florida
Atasco,Calle falsa #2367,2025-05-30T14:43:11.189421,Macul
Corte,Calle falsa #2247,2025-05-30T16:40:50.189421,Ñuñoa
Accidente,Calle falsa #635,2025-05-31T18:02:57.189421,La Florida
Accidente,Calle falsa #2517,2025-06-02T03:44:47.189421,Ñuñoa
Bache,Calle falsa #2773,2025-05-31T06:40:46.189421,Santiago
Accidente,Calle falsa #465,2025-06-03T00:14:02.189421,Macul
Bache,Calle falsa #1012,2025-06-03T10:49:54.189421,Puente Alto
Accidente,Calle falsa #1729,2025-06-03T00:02:28.189421,Puente Alto
Corte,Calle falsa #2282,2025-06-01T12:56:11.189421,La Florida
Accidente,Calle falsa #1956,2025-06-01T20:45:36.189421,Las Condes
Atasco,Calle falsa #2645,2025-06-01T23:17:56.189421,Santiago
Corte,Calle falsa #2874,2025-05-30T04:37:17.189421,Santiago
Bache,Calle falsa #1169,2025-05-30T16:31:54.189421,Macul
Accidente,Calle falsa #1437,2025-06-01T12:54:04.189421,Providencia
Bache,Calle falsa #1334,2025-06-03T06:37:31.189421,Providencia
Atasco,Calle falsa #2732,2025-06-01T10:48:12.189421,La Florida
Accidente,Calle falsa #2961,2025-06-02T11:29:25.189421,Macul
Atasco,Calle falsa #2730,2025-06-01T11:34:08.189421,Macul
Policía,Calle falsa #1980,2025-05-30T23:27:35.189421,Santiago
Policía,Calle falsa #271,2025-06-01T05:50:32.189421,Maipú
Corte,Calle falsa #1380,2025-06-01T15:21:36.189421,Puente Alto
Atasco,Calle falsa #1201,2025-06-03T03:48:52.189421,Maipú
Accidente,Calle falsa #803,2025-05-30T11:48:13.189421,Las Condes
Policía,Calle falsa #26,2025-05-30T14:17:20.189421,Macul
Accidente,Calle falsa #2889,2025-05-31T05:08:27.189421,Macul
Corte,Calle falsa #1911,2025-06-03T11:07:37.189421,Ñuñoa
Corte,Calle falsa #385,2025-06-03T02:13:14.189421,Maipú
Corte,Calle falsa #228,2025-06-01T04:15:33.189421,Providencia
Policía,Calle falsa #1842,2025-06-02T17:10:28.189421,Las Condes
Policía,Calle falsa #2744,2025-06-01T19:01:18.189421,Las Condes
Policía,Calle falsa #2113,2025-06-02T07:59:44.189421,Santiago
Detención,Calle falsa #1937,2025-06-01T06:30:09.189421,Las Condes
Policía,Calle falsa #125,2025-05-30T10:54:15.189421,La Florida
Accidente,Calle falsa #167,2025-06-02T22:42:02.189421,La Florida
Accidente,Calle falsa #399,2025-05-31T08:27:16.189421,Macul
Accidente,Calle falsa #1013,2025-06-02T12:10:23.189421,La Florida
Policía,Calle falsa #2910,2025-06-02T12:33:34.189421,Maipú
Accidente,Calle falsa #2107,2025-05-30T05:31:41.189421,Macul
Policía,Calle falsa #1201,2025-05-29T19:21:28.189421,Puente Alto
Atasco,Calle falsa #940,2025-06-01T19:33:19.189421,La Florida
Atasco,Calle falsa #1266,2025-06-01T12:55:57.189421,La Florida
Accidente,Calle falsa #2672,2025-05-30T18:58:41.189421,Macul
Atasco,Calle falsa #544,2025-06-03T09:25:37.189421,Maipú
Atasco,Calle falsa #2260,2025-05-31T20:18:28.189421,Las Condes
Accidente,Calle falsa #954,2025-06-01T18:44:20.189421,La Florida
Accidente,Calle falsa #121,2025-05-29T23:16:58.189421,Puente Alto
Policía,Calle falsa #1617,2025-06-03T00:49:36.189421,Providencia
Atasco,Calle falsa #625,2025-06-03T15:27:36.189421,Providencia
Accidente,Calle falsa #2712,2025-06-03T03:05:42.189421,Santiago
Atasco,Calle falsa #1316,2025-06-01T18:26:41.189421,Santiago
Accidente,Calle falsa #1996,2025-06-01T19:09:30.189421,Providencia
Atasco,Calle falsa #2152,2025-06-02T01:33:53.189421,La Florida
Accidente,Calle falsa #462,2025-05-30T07:43:47.189421,Las Condes
Corte,Calle falsa #671,2025-06-02T19:58:19.189421,La Florida
Accidente,Calle falsa #1867,2025-06-03T10:42:27.189421,Ñuñoa
Atasco,Calle falsa #2210,2025-05-30T15:35:01.189421,Macul
Policía,Calle falsa #2599,2025-06-02T17:28:35.189421,Maipú
Policía,Calle falsa #700,2025-05-30T23:52:33.189421,Maipú
Accidente,Calle falsa #1219,2025-06-01T17:11:50.189421,La Florida
Accidente,Calle falsa #1178,2025-05-29T21:39:13.189421,Puente Alto
Corte,Calle falsa #1728,2025-06-02T22:13:26.189421,Macul
Accidente,Calle falsa #1651,2025-05-30T09:04:41.189421,Providencia
Policía,Calle falsa #1768,2025-05-31T16:17:34.189421,La Florida
Policía,Calle falsa #591,2025-06-01T18:14:47.189421,Providencia
Atasco,Calle falsa #2949,2025-06-03T06:19:21.189421,Las Condes
Policía,Calle falsa #238,2025-05-30T00:56:55.189421,Providencia
Atasco,Calle falsa #2858,2025-06-03T02:59:47.189421,La Florida
Policía,Calle falsa #199,2025-06-03T14:47:24.189421,Puente Alto
Policía,Calle falsa #345,2025-06-01T10:47:33.189421,Maipú
Accidente,Calle falsa #1958,2025-06-03T13:12:12.189421,Maipú
Atasco,Calle falsa #1449,2025-05-31T05:47:45.189421,Santiago
Policía,Calle falsa #1240,2025-06-02T08:59:54.189421,Maipú
Corte,Calle falsa #751,2025-06-01T16:38:35.189421,Santiago
Atasco,Calle falsa #2275,2025-06-01T02:10:17.189421,Ñuñoa
Accidente,Calle falsa #2452,2025-06-03T01:16:38.189421,Ñuñoa
Corte,Calle falsa #172,2025-06-01T09:39:29.189421,Ñuñoa
Policía,Calle falsa #2900,2025-06-03T15:47:50.189421,Providencia
Atasco,Calle falsa #955,2025-06-02T02:24:27.189421,La Florida
Accidente,Calle falsa #2103,2025-06-03T16:00:41.189421,Santiago
Accidente,Calle falsa #1553,2025-06-01T15:48:15.189421,Macul
Detención,Calle falsa #2904,2025-05-30T17:19:07.189421,La Florida
Policía,Calle falsa #2382,2025-06-02T18:30:58.189421,Maipú
Accidente,Calle falsa #645,2025-06-01T06:45:54.189421,La Florida
Policía,Calle falsa #246,2025-05-30T07:04:30.189421,Santiago
Policía,Calle falsa #926,2025-06-01T08:17:50.189421,Las Condes
Accidente,Calle falsa #705,2025-06-01T18:57:37.189421,Providencia
Corte,Calle falsa #1638,2025-06-03T11:13:30.189421,Providencia
Accidente,Calle falsa #1847,2025-06-01T19:52:01.189421,La Florida
Policía,Calle falsa #76,2025-06-02T06:53:58.189421,Santiago
Detención,Calle falsa #1199,2025-05-31T01:59:49.189421,Providencia
Atasco,Calle falsa #1306,2025-06-03T02:00:14.189421,La Florida
Corte,Calle falsa #2686,2025-05-31T07:59:34.189421,Santiago
Policía,Calle falsa #974,2025-06-02T21:31:09.189421,Puente Alto
Policía,Calle falsa #648,2025-05-30T00:34:36.189421,Ñuñoa
Accidente,Calle falsa #2863,2025-06-02T15:37:59.189421,Macul
Detención,Calle falsa #1671,2025-05-30T04:07:29.189421,Puente Alto
Atasco,Calle falsa #138,2025-05-31T15:56:07.189421,Ñuñoa
Policía,Calle falsa #501,2025-06-02T05:22:47.189421,Providencia
Atasco,Calle falsa #2957,2025-06-02T23:20:21.189421,Providencia
Policía,Calle falsa #1731,2025-06-01T15:31:15.189421,Providencia
Policía,Calle falsa #1707,2025-06-01T06:54:56.189421,Puente Alto
Policía,Calle falsa #1930,2025-06-03T02:05:13.189421,Las Condes
Corte,Calle falsa #2569,2025-06-03T01:16:26.189421,Providencia
Policía,Calle falsa #886,2025-06-01T05:32:56.189421,La Florida
Policía,Calle falsa #830,2025-06-01T23:42:52.189421,Providencia
Policía,Calle falsa #1800,2025-05-30T03:37:11.189421,Puente Alto
Accidente,Calle falsa #2286,2025-05-30T15:43:57.189421,Las Condes
Policía,Calle falsa #1044,2025-05-31T09:52:14.189421,La Florida
Accidente,Calle falsa #2252,2025-06-02T14:08:00.189421,Las Condes
Corte,Calle falsa #2650,2025-06-01T11:20:57.189421,La Florida
Detención,Calle falsa #1848,2025-06-01T18:47:09.189421,Puente Alto
Policía,Calle falsa #2364,2025-05-31T07:37:24.189421,Providencia
Accidente,Calle falsa #2478,2025-05-30T01:03:08.189421,Ñuñoa
Policía,Calle falsa #1537,2025-06-03T01:51:35.189421,Maipú
Atasco,Calle falsa #825,2025-05-31T03:00:36.189421,Las Condes
Accidente,Calle falsa #195,2025-06-01T20:45:59.189421,Santiago
Policía,Calle falsa #2152,2025-06-02T16:36:37.189421,Maipú
Policía,Calle falsa #1631,2025-06-03T00:49:40.189421,Santiago
Policía,Calle falsa #2173,2025-06-03T13:50:58.189421,Ñuñoa
Atasco,Calle falsa #2467,2025-05-31T10:01:28.189421,Macul
Atasco,Calle falsa #853,2025-05-31T21:01:43.189421,Maipú
Accidente,Calle falsa #1446,2025-06-01T10:56:03.189421,Santiago
Corte,Calle falsa #97,2025-06-03T13:41:11.189421,Las Condes
Policía,Calle falsa #1774,2025-05-30T20:24:36.189421,Ñuñoa
Detención,Calle falsa #1402,2025-05-31T23:01:31.189421,Ñuñoa
Corte,Calle falsa #1532,2025-05-29T21:44:58.189421,La Florida
Corte,Calle falsa #1035,2025-06-01T21:06:14.189421,La Florida
Atasco,Calle falsa #2553,2025-05-30T10:01:38.189421,Macul
Accidente,Calle falsa #2048,2025-05-31T08:44:29.189421,Maipú
Accidente,Calle falsa #2895,2025-05-31T16:47:28.189421,Santiago
Atasco,Calle falsa #1,2025-06-03T00:52:35.189421,Maipú
Atasco,Calle falsa #1086,2025-05-30T07:07:41.189421,La Florida
Atasco,Calle falsa #155,2025-06-02T06:34:13.189421,Maipú
Policía,Calle falsa #320,2025-05-30T16:22:43.189421,Ñuñoa
Accidente,Calle falsa #197,2025-06-01T16:02:49.189421,Puente Alto
Accidente,Calle falsa #2513,2025-06-02T21:39:39.189421,Puente Alto
Policía,Calle falsa #1312,2025-06-02T17:07:53.189421,Providencia
Policía,Calle falsa #2858,2025-06-03T10:58:13.189421,Santiago
Policía,Calle falsa #1909,2025-06-02T23:45:37.189421,Providencia
Corte,Calle falsa #179,2025-06-01T23:25:47.189421,Santiago
Bache,Calle falsa #2798,2025-06-02T18:51:18.189421,Puente Alto
Policía,Calle falsa #1685,2025-05-30T21:40:27.189421,Macul
Policía,Calle falsa #1283,2025-05-30T00:23:09.189421,Las Condes
Accidente,Calle falsa #2825,2025-05-31T13:37:34.189421,Santiago
Corte,Calle falsa #2009,2025-05-31T00:38:42.189421,Maipú
Policía,Calle falsa #1038,2025-05-30T00:58:33.189421,Puente Alto
Policía,Calle falsa #2846,2025-06-03T12:28:39.189421,Ñuñoa
Atasco,Calle falsa #1078,2025-06-03T00:46:11.189421,Puente Alto
Atasco,Calle falsa #501,2025-06-01T13:52:26.189421,Providencia
Atasco,Calle falsa #282,2025-05-29T21:04:43.189421,Santiago
Atasco,Calle falsa #569,2025-06-02T17:52:22.189421,Maipú
Bache,Calle falsa #55,2025-05-30T09:47:58.189421,Providencia
Policía,Calle falsa #1269,2025-06-03T09:22:20.189421,Las Condes
Policía,Calle falsa #74,2025-05-29T19:36:26.189421,Ñuñoa
Corte,Calle falsa #764,2025-05-30T08:58:48.189421,Las Condes
Accidente,Calle falsa #1930,2025-05-31T19:23:09.189421,Maipú
Corte,Calle falsa #882,2025-06-01T08:28:09.189421,Macul
Policía,Calle falsa #153,2025-06-03T16:16:48.189421,Ñuñoa
